disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated
4332,Harvey – Texas,TX,Aransas County,87868917.29,32348683.427052267,120217600.71705228,79157600.14,30575950.43353165,109733550.57353166
4332,Harvey – Texas,TX,Austin County,1097017.39,403863.7251664391,1500881.115166439,990321.72,381731.6791404185,1372053.3991404185
4332,Harvey – Texas,TX,Bastrop County,3295317.54,1213161.4589178995,4508478.9989179,2982387.43,1146679.2680880595,4129066.6980880597
4332,Harvey – Texas,TX,Bee County,1040129.79,382920.7225657435,1423050.5125657436,951678.62,361936.3693593507,1313614.9893593506
4332,Harvey – Texas,TX,Brazoria County,30919323.2,11382857.884483585,42302181.084483586,28830916.05,10759068.425543644,39589984.47554365
4332,Harvey – Texas,TX,Burleson County,183895.54,67700.60210795193,251596.14210795192,166098.18,63990.55649485557,230088.73649485555
4332,Harvey – Texas,TX,Caldwell County,1553020.05,571739.7630781127,2124759.813078113,1398880.67,540407.9796996078,1939288.6496996079
4332,Harvey – Texas,TX,Calhoun County,20678820.02,7612846.762003964,28291666.78200396,18702943.97,7195656.842666007,25898600.812666006
4332,Harvey – Texas,TX,Chambers County,4031917.29,1484338.490114887,5516255.780114887,3704339.29,1402995.587213969,5107334.877213969
4332,Harvey – Texas,TX,Colorado County,2612732.17,961869.6628304078,3574601.8328304077,2354131.38,909158.457732643,3263289.837732643
4332,Harvey – Texas,TX,Comal County,371131.09,136630.8190725044,507761.90907250444,336817.18,129143.3439965011,465960.5239965011
4332,Harvey – Texas,TX,Dallas County,2890017.3200000003,1063951.3751470514,3953968.6951470515,2786907.95,1005646.0128754134,3792553.9628754137
4332,Harvey – Texas,TX,DeWitt County,1621351.0899999999,596895.6344530386,2218246.7244530385,1488265.49,564185.2897717946,2052450.7797717946
4332,Harvey – Texas,TX,Fayette County,1506966.96,554785.4534633624,2061752.4134633625,1404391.9400000002,524382.7794288037,1928774.7194288038
4332,Harvey – Texas,TX,Fort Bend County,50316561.769999996,18523894.20554166,68840455.97554165,46633426.49,17508770.40612336,64142196.896123365
4332,Harvey – Texas,TX,Galveston County,167787323.57,61770409.612820156,229557733.18282014,152059750.97,58385343.15746155,210445094.12746155
4332,Harvey – Texas,TX,Goliad County,299495.22,110258.28425449319,409753.50425449316,278563.07,104216.04458351298,382779.114583513
4332,Harvey – Texas,TX,Gonzales County,1381320.2000000002,508528.9683690892,1889849.1683690893,1246460.52,480661.1856686965,1727121.7056686964
4332,Harvey – Texas,TX,Grimes County,675710.6100000001,248760.87341613334,924471.4834161334,608576.46,235128.5842135069,843705.0442135069
4332,Harvey – Texas,TX,Guadalupe County,750404.5,276259.2093017406,1026663.7093017406,681988.13,261119.98992060297,943108.119920603
4332,Harvey – Texas,TX,Hardin County,60248671.050000004,22180371.020900954,82429042.07090096,54545994.12,20964869.450150855,75510863.57015085
4332,Harvey – Texas,TX,Harris County,1360861066.86,500996998.6857311,1861858065.545731,1241174766.6100001,473541973.7779081,1714716740.3879082
4332,Harvey – Texas,TX,Jackson County,2127351.4,783178.1601402322,2910529.560140232,1933954.1199999999,740259.3882707002,2674213.5082707
