disasterNumber,state,county_clean,validRegistrations,totalDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount
4332,TX,Aransas County,9309,42012481.79000001,4848,24273083.860000003,16005144.15,4145293.1599999997
4332,TX,Austin County,576,2251707.85,244,1058902.7,756768.83,161521.0
4332,TX,Bastrop County,591,977021.02,226,684536.55,414863.89,150569.0
4332,TX,Bee County,1595,859503.5499999999,417,714598.62,376357.2,166312.0
4332,TX,Brazoria County,23647,104940664.29,12516,66078315.63,42780914.36,12508385.1
4332,TX,Caldwell County,215,316855.8,60,282150.78,177230.0,64280.0
4332,TX,Calhoun County,4021,4204607.6899999995,1930,3916900.5199999996,1958530.7599999998,861864.0
4332,TX,Chambers County,4387,30337426.44,2559,23905455.6,17582386.349999998,3834496.6
4332,TX,Colorado County,571,1603072.42,221,1173551.57,765175.6,144588.0
4332,TX,DeWitt County,1007,1097877.1600000001,279,644068.3400000001,405555.61,105796.0
4332,TX,Fayette County,588,7381981.2,304,5272930.0200000005,4177553.75,344342.0
4332,TX,Fort Bend County,36583,115484630.2,15500,88377170.73,63357925.45,14054416.77
4332,TX,Galveston County,23626,151277386.3,12391,89267089.79,60591889.79,16975022.3
4332,TX,Goliad County,901,795890.42,281,593895.9299999999,344263.57,144121.0
4332,TX,Gonzales County,437,400824.55,112,254727.40000000002,180950.55,26296.0
4332,TX,Grimes County,322,798964.25,119,625043.8200000001,461918.19,75682.0
4332,TX,Hardin County,7064,64765439.85,3613,34757814.35,27134638.459999997,3845157.41
4332,TX,Harris County,183459,1040760177.99,87146,587923710.17,390654585.56,112593164.29
4332,TX,Jackson County,1335,473918.62,399,449071.18,183378.78,84491.0
4332,TX,Jasper County,2881,5276421.869999999,1150,4202525.0600000005,2894336.13,567934.0
4332,TX,Jefferson County,33376,219999827.55,18079,145919293.46,101771987.02,17481135.67
4332,TX,Karnes County,288,277126.62,82,222667.34,154136.95,32244.0
4332,TX,Kleberg County,673,294523.06,247,316129.32,162072.82,40364.0
4332,TX,Lavaca County,286,163653.64,67,118209.54,69052.28,17980.0
4332,TX,Lee County,158,513042.82999999996,68,269325.66,198684.16999999998,42637.0
4332,TX,Liberty County,7326,33988714.04,3850,27141712.97,18959707.240000002,4087291.5300000003
4332,TX,Matagorda County,5487,4645468.42,2868,4366796.93,2215910.21,526985.0
4332,TX,Montgomery County,11396,72116870.33,5150,33608959.31,22240551.68,6257958.01
4332,TX,Newton County,1644,7338257.55,862,3915768.35,2640361.9899999998,481473.17
4332,TX,Nueces County,26745,16816094.83,6737,11438344.52,5206504.92,2747668.0
4332,TX,Orange County,18571,173984833.81,12573,114156497.9,84244870.85,13823342.950000001
4332,TX,Polk County,1641,3545987.7699999996,538,2953726.4099999997,2214237.86,279048.0
4332,TX,Refugio County,1975,6643196.76,1059,4564870.22,3161481.94,703019.85
4332,TX,Sabine County,235,153394.91,66,113206.66,74243.19,13340.0
4332,TX,San Jacinto County,1940,9832902.18,951,7786365.72,5861444.61,718841.01
4332,TX,San Patricio County,10535,14452534.120000001,4146,11868256.17,6800412.449999999,2548924.0
4332,TX,Tyler County,1481,2646533.7199999997,512,2150155.18,1411383.23,285033.53
4332,TX,Victoria County,10775,11001660.51,3717,8383925.1,4503143.32,1725995.32
4332,TX,Walker County,1128,1587254.1400000001,386,1334578.1300000001,940658.48,234099.0
4332,TX,Waller County,1381,5520341.6,627,3504100.13,2425548.54,713053.0
4332,TX,Wharton County,3102,20391086.11,1817,12940014.84,8744257.5,1825189.49
4335,VI,St. John County,1250,21832864.44,662,7123049.77,5220763.46,1155813.0
4335,VI,St. Thomas County,6032,37030629.080000006,2960,18980712.53,11967316.27,3928036.91
4336,PR,Canovanas,767,2411371.07,256,3284669.8,2900575.0999999996,114820.0
4336,PR,Catano,148,245714.57,33,299516.75,242691.04,13043.0
4336,PR,Culebra,150,1623557.71,82,685247.01,509834.19,53166.0
4336,PR,Dorado,302,179697.72,71,863674.2,781181.26,19692.0
4336,PR,Fajardo,560,421868.94,110,419306.79000000004,279734.87,55251.0
4336,PR,Loiza,742,2029679.7500000002,331,1251234.3900000001,761877.56,149336.0
4336,PR,Luquillo,303,192485.25999999998,63,415660.69000000006,335116.79000000004,26239.0
4336,PR,Toa Baja,452,462074.85,107,1503015.03,1333467.71,39844.0
4336,PR,Vega Baja,517,656819.92,90,1231921.72,1087444.98,38600.0
4336,PR,Vieques,278,2493800.84,188,2436741.77,2175922.43,61706.0
4337,FL,Alachua County,9658,3745567.84,2970,4392567.27,1946504.54,1348291.0
4337,FL,Baker County,1790,925550.6,542,901725.58,485749.0,276736.0
4337,FL,Bradford County,2241,2592077.32,808,2433725.2800000003,1782370.0,346412.0
4337,FL,Brevard County,35084,16422517.42,8218,16248900.7,8752716.91,4288071.0
4337,FL,Broward County,128778,24724941.19,32659,43682619.96,9850521.17,22503392.87
4337,FL,Charlotte County,8342,2470530.5,2235,3290822.3400000003,1269220.44,1274308.0
4337,FL,Citrus County,8715,1826483.5,2735,3211800.01,969075.6799999999,1426044.0
4337,FL,Clay County,9668,10621547.9,2615,7861403.37,4872352.529999999,1896498.88
4337,FL,Collier County,39431,20500577.9,10801,21919368.38,10739838.06,6485164.77
4337,FL,Columbia County,4259,1604416.3,1321,2024530.92,906754.4,655448.0
4337,FL,DeSoto County,2516,2749234.0,954,2619830.23,1719814.54,500403.0
4337,FL,Dixie County,1344,600229.4,466,673371.77,262051.4,219266.0
4337,FL,Duval County,44836,22464378.68,13114,23221151.21,11184306.43,6813814.77
4337,FL,Flagler County,5476,4742478.1,1399,3834593.01,2225748.34,1086536.73
4337,FL,Gilchrist County,1068,291017.0,283,420067.53,142856.0,185345.0
