disasterNumber,state,county_clean,owner_validRegistrations,owner_totalDamage,owner_approved,owner_totalApprovedIhp,owner_repairReplaceAmount,owner_rentalAmount,renter_validRegistrations,renter_approved,renter_totalApprovedIhp,renter_repairReplaceAmount,renter_rentalAmount,renter_otherNeedsAmount,ia_totalApprovedIhp,ia_validRegistrations,ia_owner_totalDamage
4332,LA,Evangeline Parish,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,500.0,0.0,0.0,500.0,500.0,1.0,0.0
4332,TX,Aransas County,9309.0,42012481.79000001,4848.0,24273083.860000003,16005144.15,4145293.16,3750.0,2455.0,6254726.1,30537.0,3034283.38,3131008.33,30527809.96,13059.0,42012481.79000001
4332,TX,Austin County,576.0,2251707.85,244.0,1058902.7,756768.83,161521.0,258.0,77.0,147171.19,0.0,44122.0,103049.19,1206073.89,834.0,2251707.85
4332,TX,Bastrop County,591.0,977021.02,226.0,684536.55,414863.89,150569.0,174.0,58.0,116869.96,0.0,58687.0,56839.38,801406.51,765.0,977021.02
4332,TX,Bee County,1595.0,859503.5499999999,417.0,714598.62,376357.2,166312.0,685.0,189.0,142333.93,1565.24,22437.0,118331.69,856932.55,2280.0,859503.5499999999
4332,TX,Brazoria County,23647.0,104940664.29,12516.0,66078315.63,42780914.36,12508385.1,16256.0,6271.0,9011070.05,29039.33,2678149.5,6269491.49,75089385.68,39903.0,104940664.29
4332,TX,Caldwell County,215.0,316855.8,60.0,282150.78,177230.0,64280.0,26.0,3.0,14175.18,0.0,7450.0,6725.18,296325.96,241.0,316855.8
4332,TX,Calhoun County,4021.0,4204607.69,1930.0,3916900.52,1958530.76,861864.0,2192.0,1018.0,1010767.77,0.0,337442.0,659257.65,4927668.29,6213.0,4204607.69
4332,TX,Chambers County,4387.0,30337426.44,2559.0,23905455.6,17582386.349999998,3834496.6,1629.0,657.0,2020909.6,0.0,776597.0,1236334.81,25926365.200000003,6016.0,30337426.44
4332,TX,Colorado County,571.0,1603072.42,221.0,1173551.57,765175.6,144588.0,443.0,209.0,497066.34,800.6,144553.0,346263.96,1670617.9100000001,1014.0,1603072.42
4332,TX,DeWitt County,1007.0,1097877.16,279.0,644068.3400000001,405555.61,105796.0,398.0,104.0,129462.52,0.0,42608.0,85654.56,773530.8600000001,1405.0,1097877.16
4332,TX,Fayette County,588.0,7381981.2,304.0,5272930.0200000005,4177553.75,344342.0,211.0,89.0,278708.37,0.0,66374.0,212334.37,5551638.390000001,799.0,7381981.2
4332,TX,Fort Bend County,36583.0,115484630.2,15500.0,88377170.73,63357925.45,14054416.77,21596.0,7346.0,9162525.29,0.0,2807060.2,6263352.37,97539696.02000001,58179.0,115484630.2
4332,TX,Galveston County,23626.0,151277386.3,12391.0,89267089.79,60591889.79,16975022.3,20925.0,8175.0,19833375.21,5846.54,6686098.609999999,13036013.01,109100465.0,44551.0,151277386.3
4332,TX,Goliad County,901.0,795890.42,281.0,593895.9299999999,344263.57,144121.0,230.0,82.0,96038.65,0.0,33133.0,62905.65,689934.58,1131.0,795890.42
4332,TX,Gonzales County,437.0,400824.55,112.0,254727.4,180950.55,26296.0,169.0,55.0,46625.79,0.0,12580.0,34045.79,301353.19,606.0,400824.55
4332,TX,Grimes County,322.0,798964.25,119.0,625043.8200000001,461918.19,75682.0,79.0,12.0,24653.35,0.0,7278.0,17375.35,649697.17,401.0,798964.25
4332,TX,Hardin County,7064.0,64765439.85,3613.0,34757814.35,27134638.46,3845157.41,3108.0,1127.0,2369126.24,0.0,694618.0,1666590.63,37126940.59,10172.0,64765439.85
4332,TX,Harris County,183459.0,1040760177.99,87146.0,587923710.17,390654585.56,112593164.29,263617.0,93120.0,192694336.2,88741.48,63405059.42,128292272.5,780618046.3699999,447076.0,1040760177.99
4332,TX,Jackson County,1335.0,473918.62,399.0,449071.18,183378.78,84491.0,1021.0,378.0,268117.62,0.0,44440.0,223000.77,717188.8,2356.0,473918.62
4332,TX,Jasper County,2881.0,5276421.869999999,1150.0,4202525.0600000005,2894336.13,567934.0,1397.0,443.0,442357.02,0.0,86965.0,350309.14,4644882.08,4278.0,5276421.869999999
4332,TX,Jefferson County,33376.0,219999827.55,18079.0,145919293.46,101771987.02,17481135.67,33566.0,14165.0,34330097.89,50179.44,9172221.3,24885225.67,180249391.35000002,66942.0,219999827.55
4332,TX,Karnes County,288.0,277126.62,82.0,222667.34,154136.95,32244.0,95.0,26.0,29828.65,0.0,10236.0,19592.65,252495.99,383.0,277126.62
4332,TX,Kleberg County,673.0,294523.06,247.0,316129.32,162072.82,40364.0,681.0,181.0,114457.26,0.0,5040.0,109417.26,430586.58,1354.0,294523.06
4332,TX,Lavaca County,286.0,163653.64,67.0,118209.54,69052.28,17980.0,132.0,33.0,22319.74,0.0,3806.0,18513.74,140529.28,418.0,163653.64
4332,TX,Lee County,158.0,513042.83,68.0,269325.66,198684.17,42637.0,52.0,14.0,23740.78,0.0,3338.0,20402.78,293066.43999999994,210.0,513042.83
4332,TX,Liberty County,7326.0,33988714.04,3850.0,27141712.97,18959707.24,4087291.53,3196.0,1147.0,2908445.85,10195.26,944510.0,1948564.82,30050158.82,10522.0,33988714.04
4332,TX,Matagorda County,5487.0,4645468.42,2868.0,4366796.93,2215910.21,526985.0,4245.0,1973.0,1359418.12,0.0,176773.0,1180936.37,5726215.05,9732.0,4645468.42
4332,TX,Montgomery County,11396.0,72116870.33,5150.0,33608959.31,22240551.68,6257958.01,7780.0,2556.0,6086684.78,18383.12,2427148.99,3615711.0,39695644.09,19176.0,72116870.33
4332,TX,Newton County,1644.0,7338257.55,862.0,3915768.35,2640361.99,481473.17,344.0,122.0,213704.83,0.0,44431.0,167992.62,4129473.18,1988.0,7338257.55
4332,TX,Nueces County,26745.0,16816094.83,6737.0,11438344.52,5206504.92,2747668.0,23771.0,7344.0,7034776.3100000005,0.0,1954791.6,5037050.95,18473120.83,50516.0,16816094.83
4332,TX,Orange County,18571.0,173984833.81,12573.0,114156497.9,84244870.85,13823342.95,9991.0,5037.0,13111608.04,73484.23000000001,3866182.0,9088427.49,127268105.94,28562.0,173984833.81
4332,TX,Polk County,1641.0,3545987.77,538.0,2953726.41,2214237.86,279048.0,593.0,153.0,213842.06,0.0,41646.0,170397.76,3167568.47,2234.0,3545987.77
4332,TX,Refugio County,1975.0,6643196.76,1059.0,4564870.22,3161481.94,703019.85,783.0,498.0,910645.38,0.0,404832.0,501830.11,5475515.6,2758.0,6643196.76
4332,TX,Sabine County,235.0,153394.91,66.0,113206.66,74243.19,13340.0,51.0,7.0,5864.0,0.0,2864.0,3000.0,119070.66,286.0,153394.91
4332,TX,San Jacinto County,1940.0,9832902.18,951.0,7786365.72,5861444.61,718841.01,486.0,172.0,388600.14,0.0,103172.0,284473.23,8174965.859999999,2426.0,9832902.18
4332,TX,San Patricio County,10535.0,14452534.12,4146.0,11868256.17,6800412.449999999,2548924.0,6035.0,2968.0,5330346.88,0.0,2702591.13,2593164.66,17198603.05,16570.0,14452534.12
4332,TX,Tyler County,1481.0,2646533.72,512.0,2150155.18,1411383.23,285033.53,433.0,106.0,95916.57,0.0,19718.0,75838.56999999999,2246071.75,1914.0,2646533.72
4332,TX,Victoria County,10775.0,11001660.51,3717.0,8383925.1,4503143.32,1725995.32,8814.0,3703.0,4706188.39,2300.4,1839720.34,2844706.97,13090113.489999998,19589.0,11001660.51
4332,TX,Walker County,1128.0,1587254.14,386.0,1334578.13,940658.48,234099.0,769.0,235.0,350439.11000000004,0.0,155731.0,194708.11,1685017.24,1897.0,1587254.14
4332,TX,Waller County,1381.0,5520341.6,627.0,3504100.13,2425548.54,713053.0,951.0,267.0,557113.8,0.0,190036.0,363966.8,4061213.9299999997,2332.0,5520341.6
