disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated,ia_validRegistrations,ia_totalApprovedIhp,ia_adjustedNeed,denial_multiplier,combined_need,combined_fema_actual
4332,Harvey – Texas,TX,Aransas County,87868917.29,32348683.427052267,120217600.71705228,79157600.14,30575950.43353165,109733550.57353166,13059.0,30527809.96,43611157.08571429,1.4285714285714286,163828757.80276656,140261360.53353167
4332,Harvey – Texas,TX,Austin County,1097017.39,403863.7251664391,1500881.115166439,990321.72,381731.6791404185,1372053.3991404185,834.0,1206073.89,1722962.7,1.4285714285714286,3223843.815166439,2578127.289140418
4332,Harvey – Texas,TX,Bastrop County,3295317.54,1213161.4589178995,4508478.9989179,2982387.43,1146679.2680880595,4129066.69808806,765.0,801406.51,1144866.442857143,1.4285714285714286,5653345.441775043,4930473.20808806
4332,Harvey – Texas,TX,Bee County,1040129.79,382920.7225657435,1423050.5125657436,951678.62,361936.3693593507,1313614.9893593506,2280.0,856932.55,1224189.3571428573,1.4285714285714286,2647239.869708601,2170547.5393593507
4332,Harvey – Texas,TX,Brazoria County,30919323.2,11382857.884483583,42302181.08448359,28830916.05,10759068.425543644,39589984.47554365,39903.0,75089385.68,107270550.97142859,1.4285714285714286,149572732.0559122,114679370.15554366
4332,Harvey – Texas,TX,Burleson County,183895.54,67700.60210795193,251596.14210795192,166098.18,63990.55649485557,230088.73649485555,0.0,0.0,0.0,0.0,251596.14210795192,230088.73649485555
4332,Harvey – Texas,TX,Caldwell County,1553020.05,571739.7630781127,2124759.813078113,1398880.67,540407.9796996078,1939288.649699608,241.0,296325.96,423322.80000000005,1.4285714285714286,2548082.6130781127,2235614.6096996083
4332,Harvey – Texas,TX,Calhoun County,20678820.02,7612846.762003964,28291666.78200396,18702943.97,7195656.842666007,25898600.812666006,6213.0,4927668.29,7039526.128571428,1.4285714285714286,35331192.91057539,30826269.102666005
4332,Harvey – Texas,TX,Chambers County,4031917.29,1484338.490114887,5516255.780114887,3704339.29,1402995.587213969,5107334.877213969,6016.0,25926365.200000003,37037664.571428575,1.4285714285714286,42553920.351543464,31033700.077213973
4332,Harvey – Texas,TX,Colorado County,2612732.17,961869.6628304078,3574601.832830408,2354131.38,909158.457732643,3263289.837732643,1014.0,1670617.91,2386597.0142857144,1.4285714285714286,5961198.847116122,4933907.747732643
4332,Harvey – Texas,TX,Comal County,371131.09,136630.8190725044,507761.9090725045,336817.18,129143.3439965011,465960.5239965011,0.0,0.0,0.0,0.0,507761.9090725045,465960.5239965011
4332,Harvey – Texas,TX,Dallas County,2890017.3200000003,1063951.3751470514,3953968.695147052,2786907.95,1005646.0128754134,3792553.9628754137,0.0,0.0,0.0,0.0,3953968.695147052,3792553.9628754137
4332,Harvey – Texas,TX,DeWitt County,1621351.09,596895.6344530386,2218246.7244530385,1488265.49,564185.2897717946,2052450.7797717943,1405.0,773530.8600000001,1105044.085714286,1.4285714285714286,3323290.8101673247,2825981.6397717944
4332,Harvey – Texas,TX,Fayette County,1506966.96,554785.4534633624,2061752.4134633625,1404391.9400000002,524382.7794288037,1928774.719428804,799.0,5551638.390000001,7930911.985714287,1.4285714285714286,9992664.399177648,7480413.109428804
4332,Harvey – Texas,TX,Fort Bend County,50316561.77,18523894.20554166,68840455.97554165,46633426.49,17508770.40612336,64142196.896123365,58179.0,97539696.02,139342422.8857143,1.4285714285714286,208182878.86125594,161681892.91612336
4332,Harvey – Texas,TX,Galveston County,167787323.57,61770409.61282016,229557733.1828201,152059750.97,58385343.15746155,210445094.12746155,44551.0,109100465.0,155857807.14285713,1.4285714285714286,385415540.3256773,319545559.12746155
4332,Harvey – Texas,TX,Goliad County,299495.22,110258.2842544932,409753.5042544932,278563.07,104216.04458351298,382779.114583513,1131.0,689934.58,985620.8285714285,1.4285714285714286,1395374.3328259217,1072713.6945835128
4332,Harvey – Texas,TX,Gonzales County,1381320.2000000002,508528.9683690892,1889849.1683690893,1246460.52,480661.1856686965,1727121.7056686964,606.0,301353.19,430504.5571428572,1.4285714285714286,2320353.7255119462,2028474.8956686964
4332,Harvey – Texas,TX,Grimes County,675710.6100000001,248760.8734161333,924471.4834161334,608576.46,235128.5842135069,843705.0442135069,401.0,649697.17,928138.8142857144,1.4285714285714286,1852610.2977018477,1493402.2142135068
4332,Harvey – Texas,TX,Guadalupe County,750404.5,276259.2093017406,1026663.7093017406,681988.13,261119.98992060297,943108.119920603,0.0,0.0,0.0,0.0,1026663.7093017406,943108.119920603
4332,Harvey – Texas,TX,Hardin County,60248671.05,22180371.020900957,82429042.07090096,54545994.12,20964869.45015085,75510863.57015085,10172.0,37126940.59,53038486.55714286,1.4285714285714286,135467528.62804383,112637804.16015086
4332,Harvey – Texas,TX,Harris County,1360861066.86,500996998.6857311,1861858065.545731,1241174766.61,473541973.7779081,1714716740.3879082,447076.0,780618046.3699999,1115168637.6714284,1.4285714285714286,2977026703.2171593,2495334786.757908
4332,Harvey – Texas,TX,Jackson County,2127351.4,783178.1601402322,2910529.560140232,1933954.12,740259.3882707002,2674213.5082707,2356.0,717188.8,1024555.4285714286,1.4285714285714286,3935084.9887116607,3391402.3082707003
4332,Harvey – Texas,TX,Jasper County,2836345.24,1044192.1567756532,3880537.3967756536,2576628.43,986969.6150278288,3563598.045027829,4278.0,4644882.08,6635545.828571429,1.4285714285714286,10516083.225347083,8208480.125027829
4332,Harvey – Texas,TX,Jefferson County,159914084.66,58871899.86784887,218785984.52784887,146025333.66,55645673.99926526,201671007.65926525,66942.0,180249391.35,257499130.5,1.4285714285714286,476285115.02784884,381920399.00926524
4332,Harvey – Texas,TX,Jim Wells County,135235.05,49786.38585307171,185021.43585307169,135235.05,47058.05321384965,182293.10321384965,0.0,0.0,0.0,0.0,185021.43585307169,182293.10321384965
4332,Harvey – Texas,TX,Karnes County,137135.47,50486.01988583832,187621.48988583832,128924.14,47719.34675785813,176643.48675785813,383.0,252495.99,360708.5571428571,1.4285714285714286,548330.0470286955,429139.4767578581
4332,Harvey – Texas,TX,Kleberg County,100965.12,37170.011931238885,138135.13193123887,100736.06,35133.06638850443,135869.12638850443,1354.0,430586.58,615123.6857142857,1.4285714285714286,753258.8176455246,566455.7063885045
4332,Harvey – Texas,TX,Lavaca County,271992.33,100133.17620288538,372125.5062028854,250701.55,94645.80032246784,345347.35032246786,418.0,140529.28,200756.11428571428,1.4285714285714286,572881.6204885996,485876.6303224679
4332,Harvey – Texas,TX,Lee County,166029.28,61123.19104394669,227152.4710439467,151195.65,57773.59266918705,208969.24266918705,210.0,293066.43999999994,418666.3428571428,1.4285714285714286,645818.8139010895,502035.68266918696
4332,Harvey – Texas,TX,Liberty County,5540577.91,2039747.4595252168,7580325.369525216,5054890.87,1927967.713431244,6982858.583431244,10522.0,30050158.82,42928798.31428572,1.4285714285714286,50509123.683810934,37033017.403431244
4332,Harvey – Texas,TX,Madison County,214721.86,79049.22113793166,293771.0811379317,193628.05,74717.26238173294,268345.312381733,0.0,0.0,0.0,0.0,293771.0811379317,268345.312381733
4332,Harvey – Texas,TX,Matagorda County,9276705.55,3415191.860080888,12691897.41008089,8418759.74,3228036.6918274104,11646796.431827413,9732.0,5726215.05,8180307.214285715,1.4285714285714286,20872204.624366604,17373011.48182741
4332,Harvey – Texas,TX,Milam County,2652986.95,976689.3416748386,3629676.291674839,2387688.25,923166.0066583971,3310854.256658397,0.0,0.0,0.0,0.0,3629676.291674839,3310854.256658397
4332,Harvey – Texas,TX,Montgomery County,25775254.2,9489084.01381304,35264338.21381304,23566327.96,8969074.834845712,32535402.794845715,19176.0,39695644.09,56708062.985714294,1.4285714285714286,91972401.19952732,72231046.88484572
4332,Harvey – Texas,TX,Newton County,4275383.55,1573969.877558928,5849353.427558928,3856288.27,1487715.104963672,5344003.374963672,1988.0,4129473.18,5899247.4,1.4285714285714286,11748600.827558927,9473476.554963673
4332,Harvey – Texas,TX,Nueces County,203559043.85,74939663.20860195,278498707.058602,183756717.09,70832911.42091976,254589628.51091972,50516.0,18473120.83,26390172.61428571,1.4285714285714286,304888879.6728877,273062749.34091973
4332,Harvey – Texas,TX,Orange County,130845888.4,48170528.92109228,179016417.32109228,118900793.9,45530746.49760275,164431540.39760277,28562.0,127268105.94,181811579.91428572,1.4285714285714286,360827997.235378,291699646.33760273
4332,Harvey – Texas,TX,Polk County,874855.37,322075.43101031735,1196930.8010103174,794719.48,304425.44707072707,1099144.927070727,2234.0,3167568.47,4525097.814285715,1.4285714285714286,5722028.615296032,4266713.397070727
4332,Harvey – Texas,TX,Refugio County,32838004.04,12089214.591780515,44927218.63178051,30448855.66,11426716.236293253,41875571.89629325,2758.0,5475515.6,7822165.142857143,1.4285714285714286,52749383.774637654,47351087.496293254
4332,Harvey – Texas,TX,Sabine County,740836.95,272736.94391293376,1013573.8939129338,673041.58,257790.7474126425,930832.3274126424,286.0,119070.66,170100.94285714286,1.4285714285714286,1183674.8367700765,1049902.9874126425
4332,Harvey – Texas,TX,San Augustine County,383611.35,141225.39007984794,524836.7400798479,346701.55,133486.128941696,480187.678941696,0.0,0.0,0.0,0.0,524836.7400798479,480187.678941696
4332,Harvey – Texas,TX,San Jacinto County,1781300.28,655780.4582485434,2437080.738248544,1639654.35,619843.1794574357,2259497.5294574355,2426.0,8174965.859999999,11678522.657142857,1.4285714285714286,14115603.3953914,10434463.389457434
4332,Harvey – Texas,TX,San Patricio County,41722419.17,15359985.887691217,57082405.05769122,37771824.04,14518246.7231121,52290070.7631121,16570.0,17198603.05,24569432.92857143,1.4285714285714286,81651837.98626265,69488673.8131121
4332,Harvey – Texas,TX,Travis County,499539.64,183904.0490312573,683443.6890312573,499539.64,173825.96421229036,673365.6042122904,0.0,0.0,0.0,0.0,683443.6890312573,673365.6042122904
4332,Harvey – Texas,TX,Tyler County,802270.05,295353.3589676873,1097623.4089676873,730353.28,279167.765344693,1009521.045344693,1914.0,2246071.75,3208673.9285714286,1.4285714285714286,4306297.337539116,3255592.795344693
4332,Harvey – Texas,TX,Victoria County,26774485.3,9856948.003961964,36631433.30396196,24260021.95,9316779.592426928,33576801.54242693,19589.0,13090113.489999998,18700162.12857143,1.4285714285714286,55331595.43253339,46666915.03242692
4332,Harvey – Texas,TX,Walker County,4143989.72,1525597.6255496086,5669587.345549609,3785431.5,1441993.689959858,5227425.189959858,1897.0,1685017.24,2407167.4857142856,1.4285714285714286,8076754.831263894,6912442.429959858
4332,Harvey – Texas,TX,Waller County,2456059.08,904190.925613,3360250.005613,2258831.84,854640.5601432368,3113472.400143237,2332.0,4061213.93,5801734.185714286,1.4285714285714286,9161984.191327285,7174686.3301432375
4332,Harvey – Texas,TX,Washington County,508232.96,187104.4692171797,695337.4292171797,470978.32,176850.99888462585,647829.3188846258,0.0,0.0,0.0,0.0,695337.4292171797,647829.3188846258
4332,Harvey – Texas,TX,Wharton County,7209336.27,2654095.940976579,9863432.210976578,6594400.01,2508649.420621328,9103049.430621328,5503.0,15444374.94,22063392.77142857,1.4285714285714286,31926824.98240515,24547424.370621327
4335,Irma – US Virgin Islands,VI,St. Croix,41502.5,738779.5390012825,780282.0390012825,41502.49,735259.3893720609,776761.8793720609,0.0,0.0,0.0,0.0,780282.0390012825,776761.8793720609
4335,Irma – US Virgin Islands,VI,St. John,9329.33,166069.95040276696,175399.28040276695,9284.91,165278.65740739592,174563.56740739592,0.0,0.0,0.0,0.0,175399.28040276695,174563.56740739592
4335,Irma – US Virgin Islands,VI,St. Thomas,3514789.37,62566218.19059596,66081007.56059595,3366329.6,62268101.58322055,65634431.18322055,0.0,0.0,0.0,0.0,66081007.56059595,65634431.18322055
4336,Irma – Puerto Rico,PR,Aguas Buenas,225201.23,130736.18071808058,355937.4107180806,185211.94,104078.0812193652,289290.0212193652,0.0,0.0,0.0,0.0,355937.4107180806,289290.0212193652
4336,Irma – Puerto Rico,PR,Camuy,83107.16,48246.2404345058,131353.4004345058,66775.62,38408.46583471494,105184.08583471492,0.0,0.0,0.0,0.0,131353.4004345058,105184.08583471492
4336,Irma – Puerto Rico,PR,Canovanas,70449.67000000001,40898.18154478616,111347.85154478616,59611.26,32558.731922278927,92169.99192227892,947.0,3390798.31,8476995.775,2.5,8588343.626544787,3482968.301922279
4336,Irma – Puerto Rico,PR,Catano,63516.14,36873.05596667881,100389.19596667882,51260.85,29354.35999910201,80615.20999910201,264.0,346297.02,865742.55,2.5,966131.7459666788,426912.229999102
4336,Irma – Puerto Rico,PR,Ciales,84351.01000000001,48968.33328624637,133319.34328624638,63263.27,38983.31847350696,102246.58847350696,0.0,0.0,0.0,0.0,133319.34328624638,102246.58847350696
4336,Irma – Puerto Rico,PR,Comerio,77362.95999999999,44911.55718574734,122274.51718574732,65513.37,35753.74980967245,101267.11980967244,0.0,0.0,0.0,0.0,122274.51718574732,101267.11980967244
4336,Irma – Puerto Rico,PR,Culebra,50681.82,29422.341870163105,80104.16187016311,41154.52,23422.903055659368,64577.42305565937,213.0,750755.33,1876888.325,2.5,1956992.4868701631,815332.7530556594
