state,county,population,adjusted_applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_maximin,y_i,pct_need_met,per_applicant_alloc
PR,Aguada,39260.0,31507.5,46281740.875,1468.9118741569469,18512696.35,587.5647496627787,1,[4339],45286761.601055205,1,97.85016886760573,1437.3327493788845
PR,Dorado,36721.0,28757.5,43764101.9,1521.832631487438,17505640.759999998,608.7330525949751,2,"[4336, 4339]",41334096.54026328,1,94.44749177010596,1437.3327493788847
PR,Juana Diaz,47816.0,39243.92857142857,56406583.75,1437.3327493788847,22562633.5,574.9330997515539,2,"[4337, 4339]",56406583.75,1,100.0,1437.3327493788847
PR,Vega Baja,55857.0,48830.0,71760921.29999998,1469.6072353061638,28704368.52,587.8428941224657,2,"[4336, 4339]",70184958.15217094,1,97.80386996253762,1437.3327493788847
TX,Grimes County,27924.0,572.8571428571429,928138.8142857144,1620.1924438902745,649697.17,1134.134710723192,1,[4332],823386.3321441897,1,88.713705263782,1437.3327493788847
PR,Cayey,43477.0,36205.0,53209837.25,1469.6820121530175,21283934.9,587.872804861207,1,[4339],52038632.19126253,1,97.79889373982726,1437.332749378885
PR,Santa Isabel,21161.0,18945.0,28065373.15,1481.4132040116124,11226149.26,592.5652816046451,1,[4339],27230268.936982974,1,97.02443217642725,1437.332749378885
PR,Barceloneta,23364.0,20802.5,31443718.8,1511.5355750510757,12577487.52,604.6142300204302,1,[4339],31443718.8,1,100.0,1511.5355750510757
PR,Florida,12058.0,10457.5,16150752.025,1544.418075543868,6460300.81,617.7672302175472,1,[4339],16150752.025,1,100.0,1544.418075543868
PR,Aguas Buenas,25515.0,20107.5,31362651.125,1559.74890588089,12545060.45,623.899562352356,1,[4339],31362651.125,1,100.0,1559.74890588089
