state,county,population,d_i,n_i,ia_totalApprovedIhp,fema_per_capita,num_disasters,disaster_list,x_i_maximin,y_i,pct_need_met,per_capita_alloc
FL,Alachua County,266501.0,10852441.785714284,40.72195521110346,7596709.25,28.50536864777243,1,[4337],0.0,0,0.0,0.0
FL,Baker County,28255.0,1735396.6857142856,61.41910053846348,1214777.68,42.99337037692444,1,[4337],0.0,0,0.0,0.0
FL,Bradford County,27158.0,4164386.9571428574,153.33923547915376,2915070.87,107.33746483540762,1,[4337],0.0,0,0.0,0.0
FL,Brevard County,588165.0,36934704.37142857,62.79650161337137,25854293.06,43.957551129359956,1,[4337],0.0,0,0.0,0.0
FL,Broward County,1935945.0,151784127.31428573,78.40311956914361,106248889.12,54.882183698400524,1,[4337],0.0,0,0.0,0.0
FL,Charlotte County,181998.0,7505063.114285715,41.237063672599234,5253544.180000001,28.86594457081946,1,[4337],0.0,0,0.0,0.0
FL,Citrus County,145619.0,6640714.114285714,45.603349248969664,4648499.88,31.922344474278766,1,[4337],0.0,0,0.0,0.0
FL,Clay County,212381.0,14229138.085714286,66.99816878964826,9960396.66,46.89871815275378,1,[4337],0.0,0,0.0,0.0
FL,Collier County,373286.0,51074698.62857143,136.8245758709714,35752289.04,95.77720310967997,1,[4337],0.0,0,0.0,0.0
FL,Columbia County,70051.0,4206773.4,60.05300994989366,2944741.38,42.037106964925556,1,[4337],0.0,0,0.0,0.0
FL,DeSoto County,37159.0,4737440.442857144,127.49106388377363,3316208.31,89.24374471864151,1,[4337],0.0,0,0.0,0.0
FL,Dixie County,16609.0,1187861.3857142858,71.51913936506025,831502.97,50.063397555542174,1,[4337],0.0,0,0.0,0.0
FL,Duval County,939167.0,63496192.08571429,67.60905364617186,44447334.46,47.326337552320304,1,[4337],0.0,0,0.0,0.0
FL,Flagler County,110316.0,7491963.285714285,67.91365972038766,5244374.3,47.539561804271365,1,[4337],0.0,0,0.0,0.0
FL,Gilchrist County,17899.0,800904.3285714287,44.74575834244531,560633.03,31.32203083971172,1,[4337],0.0,0,0.0,0.0
FL,Glades County,13591.0,1506281.1714285712,110.82931141406601,1054396.8199999998,77.58051798984621,1,[4337],0.0,0,0.0,0.0
FL,Hamilton County,14397.0,261792.9,18.18385080225047,183255.03,12.728695561575329,1,[4337],0.0,0,0.0,0.0
FL,Hardee County,27172.0,3840218.2571428576,141.3299814935543,2688152.7800000003,98.93098704548801,1,[4337],0.0,0,0.0,0.0
FL,Hendry County,41074.0,6586528.328571429,160.35760648028992,4610569.83,112.25032453620295,1,[4337],0.0,0,0.0,0.0
FL,Hernando County,186899.0,8577773.885714287,45.89523692322745,6004441.720000001,32.126665846259215,1,[4337],0.0,0,0.0,0.0
FL,Highlands County,103828.0,14075287.085714288,135.56350007429873,9852700.96,94.8944500520091,1,[4337],0.0,0,0.0,0.0
FL,Hillsborough County,1428960.0,55954111.04285714,39.15722696426572,39167877.73,27.410058874986003,1,[4337],0.0,0,0.0,0.0
FL,Indian River County,154260.0,5860555.042857143,37.991410883295366,4102388.53,26.593987618306752,1,[4337],0.0,0,0.0,0.0
FL,Lafayette County,8603.0,465245.5142857143,54.079450689958655,325671.86,37.855615482971054,1,[4337],0.0,0,0.0,0.0
FL,Lake County,345848.0,16752349.471428571,48.438474333894,11726644.63,33.9069320337258,1,[4337],0.0,0,0.0,0.0
FL,Lee County,741188.0,73530728.2,99.20658213570647,51471509.74,69.44460749499453,1,[4337],0.0,0,0.0,0.0
FL,Levy County,40339.0,1836407.4857142856,45.52436812301459,1285485.24,31.867057686110215,1,[4337],0.0,0,0.0,0.0
FL,Manatee County,385458.0,14856351.171428572,38.542075067656064,10399445.82,26.979452547359244,1,[4337],0.0,0,0.0,0.0
FL,Marion County,353953.0,27082699.5,76.51495961328199,18957889.65,53.56047172929739,1,[4337],0.0,0,0.0,0.0
FL,Martin County,159716.0,3726762.9857142856,23.33368595328136,2608734.09,16.33358016729695,1,[4337],0.0,0,0.0,0.0
FL,Miami-Dade County,2709126.0,318999569.4571429,117.74999370909396,223299698.62,82.42499559636576,1,[4337],0.0,0,0.0,0.0
FL,Monroe County,76556.0,95521739.85714288,1247.7368182394964,66865217.900000006,873.4157727676472,1,[4337],95521739.85714285,1,99.99999999999997,1247.736818239496
FL,Nassau County,83024.0,4301328.342857143,51.80825234699777,3010929.84,36.26577664289844,1,[4337],0.0,0,0.0,0.0
FL,Okeechobee County,41248.0,3142115.457142857,76.17618932173335,2199480.82,53.32333252521334,1,[4337],0.0,0,0.0,0.0
FL,Orange County,1357720.0,68368468.30000001,50.35535183984917,47857927.81,35.24874628789441,1,[4337],0.0,0,0.0,0.0
FL,Osceola County,353306.0,15419160.17142857,43.64250867924284,10793412.12,30.549756075469986,1,[4337],0.0,0,0.0,0.0
FL,Palm Beach County,1470583.0,80968664.84285715,55.05888810278451,56678065.39,38.54122167194915,1,[4337],0.0,0,0.0,0.0
FL,Pasco County,525533.0,23777566.542857144,45.24466882737553,16644296.58,31.67126817916287,1,[4337],0.0,0,0.0,0.0
FL,Pinellas County,968886.0,65467423.92857143,67.56979038666204,45827196.75,47.29885327066342,1,[4337],0.0,0,0.0,0.0
FL,Polk County,685790.0,57410430.0,83.71430029600899,40187301.0,58.60001020720629,1,[4337],0.0,0,0.0,0.0
FL,Putnam County,73418.0,9666087.971428571,131.65828504492865,6766261.58,92.16079953145005,1,[4337],0.0,0,0.0,0.0
FL,Sarasota County,420073.0,14806186.07142857,35.24669776783695,10364330.25,24.672688437485867,1,[4337],0.0,0,0.0,0.0
FL,Seminole County,463052.0,28802119.32857143,62.20061532737453,20161483.53,43.54043072916217,1,[4337],0.0,0,0.0,0.0
FL,St. Johns County,244067.0,9274265.871428572,37.99885224724593,6491986.11,26.59919657307215,1,[4337],0.0,0,0.0,0.0
FL,St. Lucie County,313207.0,17770773.485714287,56.73811085229349,12439541.44,39.716677596605436,1,[4337],0.0,0,0.0,0.0
FL,Sumter County,125298.0,4005315.6142857145,31.966317214047425,2803720.93,22.3764220498332,1,[4337],0.0,0,0.0,0.0
FL,Suwannee County,44125.0,2317199.385714285,52.5144336705787,1622039.5699999998,36.760103569405096,1,[4337],0.0,0,0.0,0.0
FL,Union County,15455.0,670589.2714285714,43.3897943337801,469412.49,30.37285603364607,1,[4337],0.0,0,0.0,0.0
FL,Volusia County,538755.0,35680254.72857143,66.2272363663844,24976178.31,46.35906545646908,2,"[4337, 4338]",0.0,0,0.0,0.0
GA,Bulloch County,76046.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
GA,Camden County,53211.0,3310307.1857142854,62.210956112726414,2317215.03,43.547669278908494,1,[4338],0.0,0,0.0,0.0
GA,Charlton County,12779.0,416981.1285714285,32.63018456619677,291886.79,22.84112919633774,1,[4338],0.0,0,0.0,0.0
GA,Chatham County,289771.0,6932444.114285714,23.923871313160095,4852710.88,16.746709919212066,2,"[4337, 4338]",0.0,0,0.0,0.0
GA,Coffee County,42871.0,317129.8571428572,7.3973048714249074,221990.9,5.178113409997434,1,[4338],0.0,0,0.0,0.0
GA,Dougherty County,89537.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
GA,Glynn County,84836.0,6590321.742857144,77.68307962253223,4613225.220000001,54.37815573577256,1,[4338],0.0,0,0.0,0.0
GA,Liberty County,61819.0,1018757.3714285716,16.47968054204325,713130.16,11.535776379430272,1,[4338],0.0,0,0.0,0.0
GA,McIntosh County,14092.0,899063.8428571428,63.79959146020031,629344.69,44.659714022140214,1,[4338],0.0,0,0.0,0.0
PR,Adjuntas,18503.0,29916677.125,1616.855489650327,11966670.85,646.7421958601308,1,[4339],29916677.125,1,100.0,1616.855489650327
PR,Aguada,39260.0,46281740.875,1178.852289225675,18512696.35,471.54091569027,1,[4339],46281740.875,1,100.0,1178.852289225675
