state,county,population,applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
TX,Harris County,4655798.0,447076.0,1115168637.6714284,2494.36032726299,780618046.3699999,1746.052229084093,1,[4332],520541486.26857126,1,46.67827525669196,1164.3243794535408
PR,Lares,28822.0,8351.0,21321901.825000003,2553.215402347025,8528760.73,1021.2861609388098,1,[4339],21321901.825000003,1,100.0,2553.215402347025
PR,Guayanilla,18798.0,6459.0,16545886.15,2561.679230531042,6618354.46,1024.6716922124167,1,[4339],16545886.15,1,100.0,2561.679230531042
PR,Ponce,145596.0,49843.0,128715662.925,2582.42206378027,51486265.17,1032.968825512108,1,[4339],128715662.925,1,100.0,2582.42206378027
PR,Isabela,43711.0,12659.0,33176349.2,2620.771719725097,13270539.68,1048.3086878900388,1,[4339],33176349.2,1,100.0,2620.771719725097
TX,Brazoria County,362261.0,39903.0,107270550.9714286,2688.282860221753,75089385.68,1881.7980021552266,1,[4332],107270550.9714286,1,100.0,2688.282860221753
PR,San Lorenzo,38697.0,11941.0,32644058.05,2733.779252156436,13057623.22,1093.5117008625743,1,[4339],32644058.05,1,100.0,2733.779252156436
VI,St. Croix,50601.0,16926.0,47306523.4,2794.902717712395,33114566.38,1956.4319023986766,1,[4340],47306523.4,1,100.0,2794.902717712395
PR,Catano,24532.0,7972.0,22528078.225,2825.9004296287007,9011231.29,1130.3601718514801,2,"[4336, 4339]",22528078.225,1,100.0,2825.9004296287007
TX,Refugio County,7178.0,2758.0,7822165.142857143,2836.173003211437,5475515.6,1985.3211022480057,1,[4332],7822165.142857143,1,100.0,2836.173003211437
