state,county,population,adjusted_applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
TX,Fayette County,25110.0,1141.4285714285716,7930911.985714287,6948.233279098874,5551638.390000001,4863.763295369212,1,[4332],7930911.985714286,1,99.99999999999999,6948.233279098873
TX,Orange County,85056.0,40802.857142857145,181811579.9142857,4455.854139766122,127268105.94,3119.097897836286,1,[4332],181811579.91428572,1,100.00000000000003,4455.854139766123
TX,Chambers County,41249.0,8594.285714285714,37037664.571428575,4309.568683510639,25926365.200000003,3016.6980784574475,1,[4332],37037664.571428575,1,100.0,4309.568683510639
VI,St. John,4170.0,4227.142857142858,18161250.385714285,4296.341760729975,12712875.27,3007.439232510983,2,"[4335, 4340]",18161250.385714285,1,100.0,4296.341760729975
TX,Hardin County,57194.0,14531.428571428572,53038486.55714286,3649.9155121903264,37126940.59,2554.9408585332285,1,[4332],53038486.557142854,1,99.99999999999999,3649.915512190326
PR,Vieques,8577.0,7552.5,26555433.299999997,3516.111658391261,10622173.319999998,1406.4446633565042,2,"[4336, 4339]",26555433.3,1,100.00000000000003,3516.1116583912612
TX,San Jacinto County,28233.0,3465.714285714286,11678522.657142855,3369.730362737015,8174965.859999999,2358.8112539159106,1,[4332],11678522.657142857,1,100.00000000000003,3369.7303627370156
TX,Liberty County,83648.0,15031.428571428572,42928798.31428572,2855.936021668884,30050158.82,1999.1552151682188,1,[4332],42928798.31428572,1,100.0,2855.936021668884
TX,Wharton County,41869.0,7861.428571428572,22063392.77142857,2806.5373323641647,15444374.94,1964.5761326549155,1,[4332],22063392.77142857,1,100.0,2806.5373323641647
PR,Comerio,19502.0,16457.5,44327658.875,2693.462486708188,17731063.55,1077.3849946832752,1,[4339],44327658.875,1,100.0,2693.462486708188
