state,county,population,adjusted_applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
FL,Alachua County,266501.0,31204.285714285717,10852441.785714284,347.78689969326547,7596709.25,243.4508297852859,1,[4337],0.0,0,0.0,0.0
FL,Baker County,28255.0,4108.571428571428,1735396.6857142856,422.38445062586925,1214777.68,295.66911543810846,1,[4337],0.0,0,0.0,0.0
FL,Bradford County,27158.0,5044.285714285715,4164386.9571428574,825.5652421410365,2915070.87,577.8956694987255,1,[4337],0.0,0,0.0,0.0
FL,Brevard County,588165.0,91128.57142857143,36934704.37142857,405.3032302868788,25854293.06,283.71226120081513,1,[4337],0.0,0,0.0,0.0
FL,Broward County,1935945.0,436998.5714285714,151784127.31428573,347.3332345643497,106248889.12,243.13326419504477,1,[4337],0.0,0,0.0,0.0
FL,Charlotte County,181998.0,20810.0,7505063.114285715,360.6469540742775,5253544.180000001,252.45286785199426,1,[4337],0.0,0,0.0,0.0
FL,Citrus County,145619.0,20352.857142857145,6640714.114285714,326.2792082543693,4648499.88,228.3954457780585,1,[4337],0.0,0,0.0,0.0
FL,Clay County,212381.0,22398.571428571428,14229138.085714286,635.2698934881051,9960396.66,444.6889254416736,1,[4337],0.0,0,0.0,0.0
FL,Collier County,373286.0,102665.71428571428,51074698.62857143,497.4854456905909,35752289.04,348.2398119834136,1,[4337],0.0,0,0.0,0.0
FL,Columbia County,70051.0,11532.857142857143,4206773.4,364.76419918246006,2944741.38,255.33493942772202,1,[4337],0.0,0,0.0,0.0
FL,DeSoto County,37159.0,6350.0,4737440.442857144,746.0536130483692,3316208.31,522.2375291338583,1,[4337],0.0,0,0.0,0.0
FL,Dixie County,16609.0,2745.714285714286,1187861.3857142858,432.623813735692,831502.97,302.8366696149844,1,[4337],0.0,0,0.0,0.0
FL,Duval County,939167.0,159062.85714285716,63496192.08571429,399.1893093476074,44447334.46,279.43251654332516,1,[4337],0.0,0,0.0,0.0
FL,Flagler County,110316.0,12975.714285714286,7491963.285714285,577.3834966420785,5244374.3,404.168447649455,1,[4337],0.0,0,0.0,0.0
